id	token	visible	frequency_full	is_special	length_chars
757	ष्ण	ष्ण	5	False	3
758	ष्णा	ष्णा	1	False	4
759	ष्णु	ष्णु	1	False	4
760	ष्म	ष्म	1	False	3
761	ष्य	ष्य	1	False	3
762	स	स	91	False	1
763	सं	सं	6	False	2
764	सा	सा	20	False	2
765	सां	सां	6	False	3
766	सि	सि	11	False	2
767	सिं	सिं	1	False	3
768	सी	सी	26	False	2
769	सु	सु	1	False	2
770	सू	सू	14	False	2
771	सृ	सृ	1	False	2
772	से	से	27	False	2
773	सै	सै	3	False	2
774	सॉ	सॉ	2	False	2
775	सो	सो	7	False	2
776	सों	सों	2	False	3
777	सौ	सौ	3	False	2
778	स्कृ	स्कृ	4	False	4
779	स्क्री	स्क्री	1	False	6
780	स्ट	स्ट	6	False	3
781	स्टा	स्टा	3	False	4
782	स्टॉ	स्टॉ	1	False	4
783	स्ट्रे	स्ट्रे	1	False	6
784	स्त	स्त	19	False	3
785	स्ता	स्ता	9	False	4
786	स्ति	स्ति	4	False	4
787	स्तु	स्तु	2	False	4
788	स्तृ	स्तृ	7	False	4
789	स्ते	स्ते	2	False	4
790	स्त्र	स्त्र	7	False	5
791	स्त्रि	स्त्रि	2	False	6
792	स्त्री	स्त्री	2	False	6
793	स्थ	स्थ	5	False	3
794	स्था	स्था	5	False	4
795	स्थि	स्थि	2	False	4
796	स्प	स्प	1	False	3
797	स्म	स्म	1	False	3
798	स्य	स्य	5	False	3
799	स्यों	स्यों	4	False	5
800	स्रो	स्रो	2	False	4
801	स्ला	स्ला	4	False	4
802	स्लि	स्लि	5	False	4
803	स्व	स्व	7	False	3
804	स्वी	स्वी	1	False	4
805	स्सा	स्सा	3	False	4
806	स्सों	स्सों	2	False	5
807	ह	ह	77	False	1
808	हा	हा	40	False	2
809	हाँ	हाँ	9	False	3
810	हां	हां	2	False	3
811	हि	हि	12	False	2
812	हिं	हिं	5	False	3
813	ही	ही	11	False	2
814	हीं	हीं	3	False	3
815	हु	हु	0	False	2
816	हुँ	हुँ	5	False	3
817	हू	हू	3	False	2
818	हे	हे	2	False	2
819	है	है	0	False	2
820	हैं	हैं	0	False	3
821	हॉ	हॉ	4	False	2
822	हो	हो	0	False	2
823	हों	हों	1	False	3
824	ह्म	ह्म	2	False	3
825	।	।	69	False	1
826	०	०	39	False	1
827	१	१	21	False	1
828	२	२	27	False	1
829	३	३	19	False	1
830	४	४	38	False	1
831	५	५	30	False	1
832	६	६	30	False	1
833	७	७	30	False	1
834	८	८	31	False	1
835	९	९	17	False	1
836	॰	॰	1	False	1
837	అ	అ	0	False	1
838	అం	అం	0	False	2
839	ఆ	ఆ	0	False	1
840	ఆం	ఆం	0	False	2
841	ఇ	ఇ	0	False	1
842	ఇం	ఇం	0	False	2
843	ఈ	ఈ	0	False	1
844	ఉ	ఉ	0	False	1
845	ఉం	ఉం	0	False	2
846	ఋ	ఋ	0	False	1
847	ఎ	ఎ	0	False	1
848	ఎం	ఎం	0	False	2
849	ఏ	ఏ	0	False	1
850	ఐ	ఐ	0	False	1
851	ఒ	ఒ	0	False	1
852	ఓ	ఓ	0	False	1
853	ఔ	ఔ	0	False	1
854	క	క	11	False	1
855	కం	కం	1	False	2
856	కా	కా	1	False	2
857	కాం	కాం	0	False	3
858	కి	కి	8	False	2
859	కిం	కిం	0	False	3
860	కీ	కీ	0	False	2
861	కు	కు	5	False	2
862	కుం	కుం	0	False	3
863	కూ	కూ	2	False	2
864	కృ	కృ	0	False	2
865	కె	కె	0	False	2
866	కే	కే	0	False	2
867	కేం	కేం	0	False	3
868	కై	కై	0	False	2
869	కొ	కొ	0	False	2
870	కొం	కొం	0	False	3
871	కో	కో	0	False	2
872	క్	క్	3	False	2
873	క్,	క్,	2	False	3
874	క్క	క్క	0	False	3
875	క్కు	క్కు	0	False	4
876	క్కొ	క్కొ	0	False	4
877	క్టో	క్టో	0	False	4
